fL_a,delta_fL,fL_b,v_g,num_samples,seed,Gamma_T_EE_xi0,Gamma_T_full_xi0,Gamma_T_EE_norm_xi0,Gamma_T_EE_piece_over_2EE0,Gamma_T_PE_piece_over_2EE0,Gamma_T_EP_piece_over_2EE0,Gamma_T_PP_piece_over_2EE0,method
500.0,4.71345537210693e-05,500.0000471345537,1.0,0,20260723,2.0943951023931953,4.188789531427724,0.9999998392474596,0.5,7.599088773175336e-08,7.599086624097834e-08,0.4999999912292136,exact GR tensor xi=0 angular integral
500.0,4.81325178465674e-05,500.00004813251786,1.0,0,20260723,2.0943951023931953,4.188789529855533,0.9999998388721265,0.5,7.599088773175336e-08,7.599086578596144e-08,0.49999999085388,exact GR tensor xi=0 angular integral
500.0,4.9151611532380735e-05,500.0000491516115,1.0,0,20260723,2.0943951023931953,4.188789528216061,0.9999998384807315,0.5,7.599088773175336e-08,7.599086532131067e-08,0.49999999046248456,exact GR tensor xi=0 angular integral
500.0,5.019228214761579e-05,500.0000501922822,1.0,0,20260723,2.0943951023931953,4.188789526506429,0.9999998380725872,0.5,7.599088773175336e-08,7.599086484682196e-08,0.4999999900543398,exact GR tensor xi=0 angular integral
500.0,5.125498653337523e-05,500.00005125498654,1.0,0,20260723,2.0943951023931953,4.188789524723638,0.999999837646977,0.5,7.599088773175336e-08,7.599086436228709e-08,0.49999998962872905,exact GR tensor xi=0 angular integral
500.0,5.2340191203305776e-05,500.0000523401912,1.0,0,20260723,2.0943951023931953,4.188789522864554,0.9999998372031533,0.5,7.599088773175336e-08,7.599086386749335e-08,0.4999999891849049,exact GR tensor xi=0 angular integral
500.0,5.344837254839108e-05,500.00005344837257,1.0,0,20260723,2.0943951023931953,4.188789520925913,0.9999998367403369,0.5,7.599088773175336e-08,7.599086336222346e-08,0.49999998872208795,exact GR tensor xi=0 angular integral
500.0,5.458001704608172e-05,500.00005458001704,1.0,0,20260723,2.0943951023931953,4.18878951890431,0.9999998362577147,0.5,7.599088773175336e-08,7.599086284625574e-08,0.49999998823946534,exact GR tensor xi=0 angular integral
500.0,5.573562147385232e-05,500.00005573562146,1.0,0,20260723,2.0943951023931953,4.188789516796196,0.9999998357544395,0.5,7.599088773175336e-08,7.599086231936359e-08,0.49999998773618964,exact GR tensor xi=0 angular integral
500.0,5.691569312728102e-05,500.0000569156931,1.0,0,20260723,2.0943951023931953,4.188789514597867,0.9999998352296273,0.5,7.599088773175336e-08,7.59908617813157e-08,0.4999999872113769,exact GR tensor xi=0 angular integral
